id	title	author	published	language	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
36173100	Posledné vinobranie	Laura Dave	2015-06-29	Slovak	3.57	18308	2116	Fiction	Womens Fiction	Chick Lit	9964	612	47
28639196	A Era do Capital	Eric Hobsbawm	1975-10-31	Portuguese	4.18	2141	58	History	Nonfiction	Politics	119	102	8
28138095	One-Year Bible Reading Almanac	Josef Kraus	2015-11-21		0.0	0	0						
31202304	El infante Dante Elefante 4	J.J. Rovella	2016-10-31	Spanish	4.0	1	0						
27626229	A Se Tordre: Histoires Chatnoiresques	Alphonse Allais	2015-01-13		0.0	0	0						
32169930	Pumpkin Pie Journal: 150 Page Lined Notebook/Diary	NOT A BOOK	2016-09-14		0.0	0	0						
14321464	Painting	Isabel Thomas	2005-06-01	English	0.0	0	1						
25725957	Het moderne Egypte: Wat er te zien en te hooren valt tusschen Kaïro en Faschoda	A.B. de Guerville	1908-10-31	Dutch	0.0	0	0						
28743311	Art Education, Scholastic and Industrial	Walter Smith	2010-03-30		0.0	0	0						
15110639	Zarathustra Contra Zarathustra: The Tragic Buffoon	Francesca Cauchi	1998-02-01	English	0.0	0	0						
655335	Velimir Chlebnikov, 1885 1922: Myth And Reality: Amsterdam Symposium On The Centenary Of Velimir Chlebnikov	Willem G. Weststeijn		English	0.0	0	0						
19005134	銀河鉄道の夜	Kenji Miyazawa	1927-10-31	Japanese	4.05	733	76	Fantasy	Asian Literature	Japanese Literature	39		1
24570260	Defeat at Kasserine: American Armor Doctrine, Training, and Battle Command in Northwest Africa, World War II	Major Mark T. Calhoun	2014-09-25	English	4.0	1	0						
21786530	Dreama Chooses Pony Training	E.F. Turner	2014-01-16		0.0	0	0						
6452809	Pied Piper Of Hamelin	Ladybird Books	1998-10-01	English	3.5	4	0						
2613493	A Place for Grace	Jean Davies Okimoto	1993-04-01	English	4.0	14	7						
11267121	Store Windows That Sell Bk 6	Martin M. Pegler	1992-05-01	English	0.0	0	0						
20182516	Sexual Beginnings:A Blueprint for Life	Mary Vaughan Lindsey	2006-09-13	English	0.0	0	0						
1543533	El Arte De La Guerra	Sun Tzu	0500-10-31	Spanish	3.95	211020	6585	Nonfiction	Classics	Philosophy	200730	26792	695
25130321	Kitab At-tauhid	محمد بن عبد الوهاب	1996-01-01	English	4.31	679	63	Religion	Islam	Religion	532	42	4
20781827	Die Berucksichtigung Von Suchkosten Bei Der Berechnung Von Preis-Qualitats-Korrelationen Auf Konsumgutermarkten	Gerhard Zeiner	2001-05-02		0.0	0	0						
17229811	Double Dan	Edgar Wallace	1928-10-31	English	3.27	37	4						
18834777	The Greatest DJ's in the United States of All Time: Top 100	Alex Trost			0.0	0	0						
18102160	Business Intelligence	Roland M. Müller	1900-01-01		0.0	0	0						
12147822	Pieces Qui Ont Remporte Le Prix	M. Rouille de Meslay			0.0	0	0						
15542800	What Total Salvation	Crystal Naylor	1990-01-01	English	0.0	0	0						
16723190	Emma Heming	Jesse Russell	2012-01-10		0.0	0	0						
12761516	Mary Louise Solves A Mystery	Edith Van Dyne	1917-10-31	English	3.75	36	7						
4202319	Jacinthe Noire: Roman	Taos Amrouche		English	3.67	3	0						
30875266	Sulphurets: What They Are, How Concentrated, How Assayed, and How Worked: With a Chapter on the Blowpipe Assay of Minerals	William Barstow	2016-05-17		0.0	0	0						
26091450	Family Dinner	Jeremy Brinkett	2015-05-16	English	0.0	0	0						
7451647	PCR Protocols in Molecular Toxicology	John P. Vanden Heuvel	1997-10-31	English	0.0	0	0						
32339126	The Crimson and Grey, 1924, Vol. 9	Dover High School	2016-09-30		0.0	0	0						
32098691	David	F B (Frederick Brotherton) 184 Meyer			0.0	0	0						
7161200	Savage Need	Moira Rogers	2009-10-31	English	3.61	88	2						
35218730	Zombie Highway 2 - En roues libres	Jason Pell	2008-07-31	French	2.0	1	0						
16550979	A Feminist Legacy: The Rhetoric and Pedagogy of Gertrude Buck	Suzanne Bordelon	2007-09-13		4.33	3	0						
13416634	The Maroon Tales	Kody Jordan Kipers	2012-12-26	English	5.0	2	0						
1556882	Women in Their Place: Paul and the Corinthian Discourse of Gender and Sanctuary Space	Jorunn Økland	2004-12-30	English	3.5	2	0						
7066258	Pregnancy Sucks	Joanne Kimes	2003-10-31		3.85	425	75	Nonfiction	Parenting		184	11	2
34087625	Playing Pretend Law of Attraction Planner: I've Decided to Live the Life I've Always Wanted	Vivian Tenorio	2017-01-27		0.0	0	0						
33260711	The Girl Who Called the North Wind	Gwendolyn Snapp	2016-02-25		0.0	0	0						
1616823	Occult History	Rudolf Steiner	1992-10-31	English	4.67	6	0						
26150725	De Matarese finale	Robert Ludlum	1997-10-13	Dutch	3.86	4962	92	Fiction	Thriller	Spy Thriller	1303	24	10
16626501	Official Guide of the Railways	Jesse Russell	2012-03-15		0.0	0	0						
25134302	Je t'ai vu !	Nick Shadow	2013-03-28	English	0.0	0	0						
6354226	The Tale of Corally Crothers	Romney Gay	1932-10-31	English	4.6	5	3						
4805813	Shyness And Reticence In Students	Paul G. Friedman	1980-01-01	English	0.0	0	0						
21159826	Blood Royal, Vampire Bound	Jae T. Jaggart	2014-01-11	English	4.0	1	0						
4651372	Plastic Surgery	Bahman Guyuron			4.5	4	1						
30825698	Promise Me	Monica Alexander	2016-07-16	English	3.86	69	7						
28481602	Slow Burn	Marlene Leach	2015-03-16		3.67	3	1						
27303444	The Maryland Campaign of September 1862. Volume III: Shepherdstown Ford and the End of the Campaign	Ezra Carman		English	5.0	2	1						
34917912	Herding Dogs	Mary Ann Hoffman	2011-01-01		3.5	2	0						
11638052	The Last King of the Maya	David Talon	2011-03-23	English, Middle (1100-1500)	3.5	2	1						
36336483	21 Κλασικά παραμύθια	Βαρλάμος			0.0	0	0						
4645220	Hill Country Christmas	Laurie Kingery	2008-10-01	English	4.05	62	6						
29984700	Dom Żałoby #7	Dominik Szcześniak	2009-02-28	Polish	0.0	0	0						
21678261	Love Lost	Cassandra Cassock	2012-09-03		0.0	0	0						
32531506	Roaming Through the West Indies	Harry A. Franck			2.5	2	0						
28772043	The Growth of Medicine from the Earliest Times to about 1800	Albert Henry Buck	2015-10-23		0.0	0	0						
16463460	Tuned in: Uncover the Extraordinary Opportunities That Lead to Business Breakthroughs	Craig Stull	2008-01-01		3.75	197	30						
22197132	Close to Home	Peter Robinson	2002-12-01		4.01	3804	171	Mystery	Fiction	Mystery	769	60	2
11477071	AMBER ALERT	Tanya Allan	2011-04-19	English	4.26	19	1						
18120442	Clinical Dermatology	Richard B. Weller	2008-03-01		4.0	4	0						
33092206	Chevaux: Le Calendrier GaO	Collectif	2011-11-02		0.0	0	0						
30369693	Mi Camino: Abenteuer auf und neben dem Jakobsweg und bis ans Ende der Welt	Henry Fassmacher	2016-06-01	English	0.0	0	0						
341211	Frommer's Hong Kong	Beth Reiber	2001-02-22	English	3.17	18	2						
523747	The Hermetic Book of Nature: An American Revolution in Consciousness	Arthur Versluis	1997-01-01	English	0.0	0	0						
25378669	Amateur Houswives 2	M. Strayham	2015-04-16	English	0.0	0	0						
18453622	한국사편지 #4	박은봉			0.0	0	0						
22198061	24 Declassified: Vanishing Point	Marc Cerasini	2007-02-27		3.57	141	11						
11527078	The Uncommon Sense of the Immortal Mullah Nasruddin: Stories, jests, and donkey tales of the beloved Persian folk hero	Ron J. Suresha	2010-12-19		3.79	14	1						
26502399	yononakakara nakunatte hoshiimono	Uozumi Katsuya	2015-09-11	English	0.0	0	0						
29308850	The Story of Patsy; A Reminiscenc	Kate Douglas Wiggin	2015-12-06		3.47	15	3						
8105218	The Filigree Ball	Anna Katharine Green	1903-10-31	English	3.71	63	4						
4826303	Part 1 Mrcog: Revision Made Easy	Jayanta Chatterjee	2007-01-01		0.0	0	0						
34529659	Nude Sexy Perfect Girl 4: Uncensored Full Strip Tease Hires Pictures	PornGirl	2017-03-09		0.0	0	0						
2297567	Churchill and Hitler: In Victory and Defeat	John Strawson	2000-06-01	English	3.45	11	0						
33843162	O Cérebro Social	Michael S. Gazzaniga	1985-10-01	Portuguese	4.03	32	3						
35229892	A Poet's Journey Volume 1	Justin A. Young	2014-01-05		0.0	0	0						
15051639	Out of the Ordinary	Jennifer K. Messer	2003-07-31	English	0.0	0	0						
35528097	A Modern Nordic Saga : Politics, Economy and Society	Ryszard M. Czarny	2016-10-13		0.0	0	0						
23418491	Après la pluie, le beau temps	Comtesse de Ségur	2014-04-25	English	3.91	231	8						
15670652	Lietuvos Istorijos Ivykiu Chronologija: 1795-1918	Aleksandras Vitkus		English	0.0	0	0						
7648810	Hunger	Jane  Ward	2001-04-07	English	4.0	11	1						
16405858	On Sense and the Sensible - Aristotle	Aristotle	2004-01-01		3.1	10	1						
16072771	Daphne Du Maurier at Home	Hilary Macaskill	2013-05-15	English	4.27	15	5						
30659172	The Seven Secrets of the Eucharist	Vinny Flynn	2007-01-30		0.0	0	0						
6899417	To Love What Is: A Marriage Transformed	Alix Kates Shulman	2008-09-16	English	4.09	179	39						
11538207	Harbison's California adjustable comb hive: patented by J.S. Harbison, January 4, 1859	W.C Harbison			0.0	0	0						
29131704	Picked Poems	Ella Wheeler Wilcox	2015-12-14		0.0	0	0						
12876587	Historical sketches of the Woods family of Great Britain: of which William Woods, esq., of Cincinnati, O. is a descendant, containing a description of the different armorial bearings of the family	Henry Dudley Teetor			0.0	0	0						
11192222	Human Rights and the Ethics of Globalization	Daniel E. Lee	2010-09-01	English	4.0	1	0						
11271767	The Sound of Silence	Burkhard Vogel	2008-01-01		0.0	0	0						
33314445	Ville Organisatrice Des Jeux Olympiques D'Hiver: Calgary, Chamonix-Mont-Blanc, Grenoble, Innsbruck, Lillehammer, Oslo, Saint-Moritz	Source Wikipedia	2011-09-02		0.0	0	0						
1519216	Assessment Log and Developmental Progress Charts for the Carolina Curriculum	Nancy M. Johnson-Martin	1991-10-31		3.0	1	0						
30988272	Madame de Treymes	Edith Wharton	1907-10-31	English	3.49	466	54	Classics	Fiction	Short Stories	430	6	2
22568027	Le Pédopsy de poche	Dr. Stéphane Clerget	2013-04-10	English	0.0	0	0						
34024616	The Smart Words and Wicked Wit of Jane Austen	Max Morris	2017-03-21		3.0	3	0						
25525185	Chryzantémy ze země zelených hor	Oldřich Vyhlídal	1976-10-31	Czech	4.4	5	2						
35279583	Quantum	Tom Grace	2000-01-01		3.64	159	21						
15282258	Organization & Development of the Embryo	Ross Granville Harrison		English	0.0	0	0						
20747128	Sem olhos em Gaza	Aldous Huxley	1936-10-31	Portuguese	3.89	1863	117	Fiction	Classics		355	121	31
26784228	Der Organbesitz	Marco Brand	2015-02-01		0.0	0	0						
5486040	Contemplation	Madeline M. Clarke			0.0	0	0						
35369880	Rental Properties Managing: Rental Properties Managing Guide for Beginners	Samuel Gobar	2017-05-21		0.0	0	0						
3299116	Perspectives on Biodiversity: Case Studies of Genetic Resource Conservation and Development	Christopher S. Potter	1993-06-01	English	0.0	0	0						
31232968	Bell's British Theatre, Consisting of the Most Esteemed English Plays, Vol. 4: Being the Second Volume of Comedies; Containing the Wonder, by Mrs. Centlivre; Rule a Wife and Have a Wife, by Beaumont and Fletcher; The Suspicious Husband, by Dr. Hoadley; Th	John Bell	2016-07-13		0.0	0	0						
29820821	Campaign of 1870-1871: The German Artillery in the Battles Near Metz	E Hoffbauer	2015-09-01		0.0	0	0						
8519070	The Place of rural economy in a university curriculum	William Somerville	2015-09-27		0.0	0	0						
30737645	Circulo de Estudos: Arte e Espiritismo	Edmundo Cezar	2015-10-31	Portuguese	0.0	0	0						
22627888	Three Elephant Power, and Other Stories	A.B. Paterson	1917-10-31		4.5	2	2						
34503853	Sluggo Snares a Vampire	Rick R. Reed	2010-04-30	English	3.1	51	16						
18362716	The Last Gunfighters	Charles Ray		English	4.29	14	0						
15200925	Money, Meaning, Power: The Global Financial Market and Dexterous Communication	Erik   Andersson		English	0.0	0	0						
12210684	Les Religions Du Monde	Nadine Goursaud	2004-10-31		0.0	0	0						
15613233	Erotichniiat Zhiznetvorcheski Roman Na Andrei Protich	Albert Benbasat		English	0.0	0	0						
25299409	Picciola	X.B. Saintine	2009-04-09	English	5.0	2	1						
9613410	How to Build a Better Vocabulary	Maxwell Nurnberg	1961-10-31	English	4.01	87	4						
29775531	Moonlight Bloody Lily - L'intégrale: Sous l'emprise du vampire	Amber James	2016-03-03	English	4.0	4	0						
29620882	Doctored: The Disillusionment of an American Physician	Sandeep Jauhar			3.58	898	149	Nonfiction	Health	Medicine	1595	53	2
35554519	Ordinary Time: Ponderings of a Catholic School Principal	Lynn R. Cuffari	2013-02-09		5.0	1	0						
33754949	Seupocheuui Yeogsa: Geundae 5jong Gyeong-GI, Milae Seupocheu Haengsa, Seupocheu Bagmulgwan, Seupocheu Jeondang, Yaguui Yeogsa	Chulcheo Wikipedia	2011-09-14		0.0	0	0						
16787451	Challenges in Implementing Corporate Governance	John Zinkin	2011-10-28		0.0	0	0						
20728937	Assessment of Soil-Gas Contamination at Three Former Fuel-Dispensing Sites, Fort Gordon, Georgia, 2010?2011	U.S. Department of the Interior	2014-01-31		0.0	0	0						
29123188	Satanella : As Performed at Academy of Music Summer Garden Opera, 1886	Michael William Balfe	2015-12-06		0.0	0	0						
11200306	Inimeseks kõlbmatu	Osamu Dazai	1948-07-25		4.06	8279	663	Fiction	Cultural	Japan	12959	490	324
36007344	Der Untergang: Hitler und das Ende des Dritten Reiches	Joachim Fest	2002-10-31		3.92	997	67	History	Nonfiction	War	708	19	
25973255	The Gothi and the Rune Stave	Pete Jennings	2013-01-07	English	0.0	0	0						
34161809	Fortitudo Pallacanestro Bologna: Allenatori Della Fortitudo Bologna, Cestisti Della Fortitudo Bologna, Stagioni Della Fortitudo Bologna	Fonte Wikipedia			0.0	0	0						
31940428	Visitas ao Santissimo Sacramento e a Maria Santissima para todos os dias do mez	Unknown	2011-03-25	English	0.0	0	0						
13528409	Highschool of the Dead, Vol. 7	Daisuke Sato	2011-05-06	English	4.3	720	11	Sequential Art	Manga	Horror	210	4	3
22175250	Black	R. Hampton Simpson	2014-05-17	English	4.0	2	2						
19008990	The Princess Predicament	Lisa Childs	2013-01-01	English	3.44	73	14						
22996707	Le Maroc	Albert Cousin	1905-10-31	French	0.0	0	0						
8166821	Walther Rathenau: Portrait einer Epoche	Lothar Gall	2009-02-28		3.5	2	0						
35399164	Living Craft Traditions of India - Text Book in Heritage Crafts for Class - 11 - 11133	NCERT			0.0	0	0						
19738344	Weekly Wambooli Salad Vol. III:Dan Gookin's Newsletter from Aug. '03 thru Aug. '04	Dan Gookin	2005-09-06	English	0.0	0	0						
16292159	Sightreading Book: Level 2a	Nancy Faber	2012-11-19		5.0	1	0						
17318494	Irish Shorts: Two-Handers from the Abbey Theatre, Ireland	Aideen Howard			3.0	1	1						
4685864	Parsva Jinesvara: Mahakavya	Manaka Canda Ramapuriya	1999-10-31	English	0.0	0	0						
20776381	Balanced Scorecard in Der Materialwirtschaft. Ein Managementsystem Fur Den Einkaufsleiter	Michael Bandl	2007-07-11		0.0	0	0						
16938080	Workplace Learning: Concepts, Measurement and Application	Marianne Van Woerkom	2010-05-05		0.0	0	0						
6965021	Small Gains	K.M. Peyton	2003-10-31	English	3.81	68	6						
8505910	Future of Disease: Existing, Emerging, and Novel Infectious Diseases	David Clark	2010-03-31	English	3.0	1	0						
4993432	Systemic Supervision: A Portable Guide for Supervision Training	Gill Gorell Barnes	2000-02-29	English	4.0	1	0						
17684082	Class Is Not Dismissed!	Gitty Daneshvari	2010-09-14		3.96	2258	179	Fiction	Childrens	Middle Grade	627	27	22
27962408	Astronomical and Magnetical and Meteorological Observations Made at the Royal Observatory, Greenwich, in the Year	Royal Observatory Greenwich	2015-10-01		0.0	0	0						
22260593	Medicine Ethics & Practice 19	Pharma Press	1998-01-31		0.0	0	0						
27318923	A Masque of Days, from the Last Essays of Elia: - Scholar's Choice Edition	Charles Lamb	1833-10-31		3.86	7	1						
549217	Baby Faces	Dawn Sirett	1998-10-14	English	4.07	303	24	Childrens	Childrens	Picture Books	106	2	1
6413650	Mine Host at the Mitre 'Bobbie' Peel at Blackpool, 1905	Gerry Wolstenholme	2009-04-22	English	0.0	0	0						
5103816	Bff: Best Friends Forever	Anna  Ziegler	2007-01-30		3.21	19	1						
13629626	きみはペット 4	Yayoi Ogawa	2000-10-31	Japanese	4.26	812	14	Sequential Art	Manga	Romance	110	4	6
30976159	Valiant Masters: Rai Vol. 1: From Honor to Strength (Rai	David Michelinie	2013-11-27	English	3.34	38	9						
22699274	Possess Me	Titania Oliver	2014-06-08	English	4.0	11	0						
28410217	Ethics and Experiments: Problems and Solutions for Social Scientists and Policy Professionals	Scott Desposato	2015-10-01		0.0	0	0						
7377804	El mono azul	R.L. Stine	1998-02-27	Spanish	3.97	103	4						
8142411	The Lapis Lazuli Crown 2	Natsuna Kawase	2009-11-10		3.6	65	3						
12620382	Last Light	Alex Scarrow	2007-10-31	English	3.93	1437	144	Thriller	Apocalyptic	Post Apocalyptic	1596	12	8
10776815	Międzynarodowe stosunki gospodarcze	Adam Budnikowski	2006-10-31	Polish	2.0	1	0						
16564899	Faceted Search	Daniel Tunkelang	2009-09-30		3.78	18	5						
17824967	gewöhnliche differentialgleichungen	Peter Luther	1987-10-31		0.0	0	0						
21218817	TWI Case Studies: Standard Work, Continuous Improvement, and Teamwork	Donald A.	2012-01-04	English	0.0	0	0						
31541483	Witch Scene , for the Love of Art: Blank 150 Page Lined Journal for Your Thoughts, Ideas, and Inspiration	NOT A BOOK			0.0	0	0						
30121165	Seewölfe - Piraten der Weltmeere 201: Totentanz auf Bali	Fred McMason	2016-05-06	English	0.0	0	0						
23905315	The Complexity of Greatness: Beyond Talent or Practice	Scott Barry Kaufman	2013-04-24	English	4.57	7	0						
35001044	Deadeye	Darcy Abriel	2011-01-05		3.0	4	3						
189833	Duell der Zauberer	David Eddings	1984-12-31	German	4.17	73840	688	Fantasy	Fiction	Fantasy	7795	210	319
36020943	Plato's Three-Fold City and Soul	Joshua I Weinstein			0.0	0	0						
1559980	Architect of Reformation: An Introduction to Heinrich Bullinger, 1504-1575	Bruce Gordon	2004-09-01	English	4.5	2	1						
4902475	Detroit, 1900 1930	Richard  Bak	1999-03-31	English	4.38	8	1						
25606769	Oola Oola Boo Boop ta Greak	Bill Wood	2014-09-25	English	0.0	0	0						
11370266	Paradise	Eileen Ann Brennan	2010-12-06		0.0	0	0						
2283906	The Yakuza	Leonard Schrader	1975-10-31	English	3.76	17	3						
32389657	How to Become an Engineer	Louis Earl] 1882- [From O [Steinheimer			0.0	0	0						
32657267	The Message of the College to the Church; A Course of Sunday Evening Addresses in Lent, 1901, Delivered in the Old South Church, Boston	Francis Greenwood 1847-1936 Peabody			0.0	0	0						
27473113	The Pied Piper of Hamelin: A Child's Story Illustrated	Robert Browning	1842-10-31		3.89	1933	99	Poetry	Classics	Fiction	233	23	12
26220581	It Ended Badly: Thirteen of the Worst Breakups in History	Jennifer   Wright	2015-11-03	English	3.79	1902	396	Nonfiction	History	Humor	752	110	19
3962465	Spirit of the Place Spirit of the Place	Gregory Feeley	2001-03-15	English	0.0	0	0						
21893851	Midtland	Chris D'Amato	2012-10-31	Danish	0.0	0	0						
25348222	Spooky Mo: Horror Stories	Marivi Soliven Blanco	2008-10-31	English	4.0	16	2						
9836197	Obsidian Butterfly	Laurell K. Hamilton	2000-01-01	Hungarian	4.08	54659	1337	Fantasy	Urban Fantasy	Paranormal	8014	355	425
26526720	In the Seam	Kirk James Folk		English	3.6	5	4						
19880813	How To Melt A Frozen Heart	Cara Colter	2013-01-01	English	3.55	22	9						
31235494	A Surrendered Heart	Tracie Peterson	2009-01-01		4.06	1702	91	Christian Fiction	Historical	Historical Fiction	838	36	8
19278946	Guided Inquiry Design: A Framework for Inquiry in Your School	Carol C. Kuhlthau	2012-06-06	English	4.18	38	4						
23286180	Santa Hat and Scarf Wine Bottle Cozy Crochet Pattern	Kimber Shook	2014-09-26		0.0	0	0						
26450294	Light from Old Times: Or, Protestant Facts and Men; With an Introduction for Our Own Days	J.C. Ryle	1980-10-28		4.17	18	1						
15498341	Nurse in Flight	Peggy Gaddis		English	0.0	0	0						
1052880	The Complete Muffin Cookbook: The Ultimate Guide to Making Great Muffins	Gloria Ambrosia	2005-11-01	English	3.71	14	2						
15462024	Now You Can Read-- The Story of Ruth	Leonard Matthews		English	4.5	6	0						
18954484	Passionistas Talk!: The Best of the Passion Point Interviews	Caren Glasser	2013-10-15		5.0	2	0						
25124604	Where Things Come Back	John Corey Whaley	2011-05-03	English	3.81	17774	2844	Young Adult	Contemporary	Fiction	25804	53	449
6362474	Never Broken	Kathleen Fuller	2006-03-01	English	4.13	31	18						
11568871	Low Carb	Nicolai Worm			4.0	1	0						
17555847	How to Make Paper Airplanes	B.B.  Adams		English	4.67	3	1						
26174392	一生お金に困らない人生をつくる 信頼残高の増やし方	菅井 敏之	2015-07-29	English	0.0	0	0						
28903074	The Temperance Movement and Its Workers: A Record of Social, Moral, Religious, and Political Progress, Volume 3	P T Winskill	2015-11-15		0.0	0	0						
35216672	Thuis bij de vijand	Natascha van Weezel	2017-04-05		3.0	2	0						
21762586	Dragon Ladies Defeated and Enslaved	Laura Knots	2013-03-02		0.0	0	0						
32945657	Java Enterprise Edition : Le développement d'applications web avec JEE 6	Thierry Groussard	2011-02-28	French	0.0	0	0						
