id	title	orig_title	author	language	published	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
27413146	Ophelia und das Geheimnis des magischen Museums	Ophelia and the Marvelous Boy	Karen Foxlee	2014-02-06	German	3.87	5093	962	Fantasy	Childrens	Middle Grade	5736	101	23
26150725	De Matarese finale	The Matarese Countdown	Robert Ludlum	1997-10-13	Dutch	3.86	4962	92	Fiction	Thriller	Spy Thriller	1303	24	10
22512169	Unwound	Unwound	Lorelei James	2014-03-25	English	4.16	4619	366	Erotica	Bdsm	Adult Fiction	499	88	40
10301276	When the Sacred Ginmill Closes	When the Sacred Ginmill Closes	Lawrence Block	1986-10-31	English	4.16	4146	222	Mystery	Mystery	Crime	241	38	20
25178556	Adventure Time: Marceline and the Scream Queens	Adventure Time: Marceline and the Scream Queens Vol.1	Meredith Gran	2013-06-04	English	4.3	3823	156	Sequential Art	Comics	Sequential Art	447	6	25
22197132	Close to Home	The Summer That Never Was	Peter Robinson	2002-12-01		4.01	3805	171	Mystery	Fiction	Mystery	770	61	2
25774889	Mara	Mara	Ioan Slavici	1906-10-31	English	3.0	3536	39	European Literature	Romanian Literature	Classics	247	44	8
3717921	Dog Who Wouldn't Be	The Dog Who Wouldn't Be	Farley Mowat	1957-10-31	English	4.14	3168	214	Nonfiction	Animals	Autobiography	2009	34	20
5146949	Vanished Smile: The Mysterious Theft of Mona Lisa	Vanished Smile: The Mysterious Theft of Mona Lisa	R.A. Scotti	2009-01-01	English	3.81	2963	292	Crime	True Crime	Nonfiction	676	6	7
11268404	Mrs. Bridge	Mrs. Bridge	Evan S. Connell	1959-10-31	Italian	4.04	2910	471	Fiction	Classics	Novels		32	41
17800049	Nosy Neighbor	The Nosy Neighbor	Fern Michaels	2005-05-24		3.88	2836	114	Romance	Fiction		1007	60	6
33639783	Vadideki Zambak	Le Lys dans la vallée	Honoré de Balzac	1835-10-31	Turkish	3.62	2786	129	Classics	Fiction	European Literature	14	138	16
21104063	Rises the Night	Rises the Night	Colleen Gleason	2007-06-05	English	4.05	2746	201	Paranormal	Vampires	Fantasy	352	26	11
31354324	Winter in Sweetwater County	Winter in Sweetwater Country	Ciara Knight	2014-01-11	English	3.73	2631	224	Romance	Contemporary	Holiday	1882	537	
30909151	The Iphigeneia at Aulis of Euripides: With Introduction and Notes	Ιφιγένεια η εν Αυλίδι	Euripides	0410-10-31		4.0	2477	55	Plays	Classics	Drama	19	14	11
11352727	La Fille Sauvage	The Wild Girl	Jim Fergus	2004-10-31		3.85	2474	352	Historical	Historical Fiction	Fiction	734	73	13
18595926	Spring Tide	Springfloden	Cilla Börjlind	2012-08-31		3.9	2369	247	Thriller	Mystery	European Literature	475	71	13
17684082	Class Is Not Dismissed!	School of Fear 2	Gitty Daneshvari	2010-09-14		3.96	2258	179	Fiction	Childrens	Middle Grade	627	27	22
28639196	A Era do Capital	The Age of Capital, 1848-1875	Eric Hobsbawm	1975-10-31	Portuguese	4.18	2141	58	History	Nonfiction	Politics	119	102	8
29009522	The Queen's Bastard	The Queen's Bastard	Robin Maxwell	1999-10-31	English	3.75	2095	83	Historical	Historical Fiction	Fiction	2388	52	8
